"BehaviorSpace results (NetLogo 6.3.0)"
"STRAVVS.nlogo"
"system1"
"05/07/2025 21:20:40:729 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
"init-file","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt","system1/inits.txt"
"input-file?","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true"
"[reporter]","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save"
"[final]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  B   1   0   1   1   0] [product  C   1   1   1   0   1] [product  A   2   0   2   2   0] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  B   1   0   1   1   0] [product  C   1   1   1   0   1] [product  A   2   0   2   2   0] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  C   1   1   1   0   1] [product  A   2   0   2   2   0] [product  B   1   0   1   1   0] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  B   1   0   1   1   0] [product  C   1   1   1   0   1] [product  A   2   0   2   2   0] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  A   2   0   2   2   0] [product  B   1   0   1   1   0] [product  C   1   1   1   0   1] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  B   1   0   1   1   0] [product  A   2   0   2   2   0] [product  C   1   1   1   0   1] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  B   1   0   1   1   0] [product  C   1   1   1   0   1] [product  A   2   0   2   2   0] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  C   1   1   1   0   1] [product  A   2   0   2   2   0] [product  B   1   0   1   1   0] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  C   1   1   1   0   1] [product  B   1   0   1   1   0] [product  A   2   0   2   2   0] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  C   1   1   1   0   1] [product  B   1   0   1   1   0] [product  A   2   0   2   2   0] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  B   1   0   1   1   0] [product  C   1   1   1   0   1] [product  A   2   0   2   2   0] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  A   2   0   2   2   0] [product  B   1   0   1   1   0] [product  C   1   1   1   0   1] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  A   2   0   2   2   0] [product  B   1   0   1   1   0] [product  C   1   1   1   0   1] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  A   2   0   2   2   0] [product  C   1   1   1   0   1] [product  B   1   0   1   1   0] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  B   1   0   1   1   0] [product  C   1   1   1   0   1] [product  A   2   0   2   2   0] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  A   2   0   2   2   0] [product  B   1   0   1   1   0] [product  C   1   1   1   0   1] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  A   2   0   2   2   0] [product  B   1   0   1   1   0] [product  C   1   1   1   0   1] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  B   1   0   1   1   0] [product  C   1   1   1   0   1] [product  A   2   0   2   2   0] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  B   1   0   1   1   0] [product  A   2   0   2   2   0] [product  C   1   1   1   0   1] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  B   1   0   1   1   0] [product  A   2   0   2   2   0] [product  C   1   1   1   0   1] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  A   2   0   2   2   0] [product  C   1   1   1   0   1] [product  B   1   0   1   1   0] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  C   1   1   1   0   1] [product  B   1   0   1   1   0] [product  A   2   0   2   2   0] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  B   1   0   1   1   0] [product  C   1   1   1   0   1] [product  A   2   0   2   2   0] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  A   2   0   2   2   0] [product  B   1   0   1   1   0] [product  C   1   1   1   0   1] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  C   1   1   1   0   1] [product  B   1   0   1   1   0] [product  A   2   0   2   2   0] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  B   1   0   1   1   0] [product  C   1   1   1   0   1] [product  A   2   0   2   2   0] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  A   2   0   2   2   0] [product  C   1   1   1   0   1] [product  B   1   0   1   1   0] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  C   1   1   1   0   1] [product  B   1   0   1   1   0] [product  A   2   0   2   2   0] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  C   1   1   1   0   1] [product  A   2   0   2   2   0] [product  B   1   0   1   1   0] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  B   1   0   1   1   0] [product  C   1   1   1   0   1] [product  A   2   0   2   2   0] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  B   1   0   1   1   0] [product  C   1   1   1   0   1] [product  A   2   0   2   2   0] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  C   1   1   1   0   1] [product  B   1   0   1   1   0] [product  A   2   0   2   2   0] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  A   2   0   2   2   0] [product  B   1   0   1   1   0] [product  C   1   1   1   0   1] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  B   1   0   1   1   0] [product  A   2   0   2   2   0] [product  C   1   1   1   0   1] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  B   1   0   1   1   0] [product  A   2   0   2   2   0] [product  C   1   1   1   0   1] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  C   1   1   1   0   1] [product  A   2   0   2   2   0] [product  B   1   0   1   1   0] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  C   1   1   1   0   1] [product  A   2   0   2   2   0] [product  B   1   0   1   1   0] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  A   2   0   2   2   0] [product  B   1   0   1   1   0] [product  C   1   1   1   0   1] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  B   1   0   1   1   0] [product  A   2   0   2   2   0] [product  C   1   1   1   0   1] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  B   1   0   1   1   0] [product  C   1   1   1   0   1] [product  A   2   0   2   2   0] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  C   1   1   1   0   1] [product  B   1   0   1   1   0] [product  A   2   0   2   2   0] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  C   1   1   1   0   1] [product  B   1   0   1   1   0] [product  A   2   0   2   2   0] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  C   1   1   1   0   1] [product  B   1   0   1   1   0] [product  A   2   0   2   2   0] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  C   1   1   1   0   1] [product  B   1   0   1   1   0] [product  A   2   0   2   2   0] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  B   1   0   1   1   0] [product  A   2   0   2   2   0] [product  C   1   1   1   0   1] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  C   1   1   1   0   1] [product  B   1   0   1   1   0] [product  A   2   0   2   2   0] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  B   1   0   1   1   0] [product  A   2   0   2   2   0] [product  C   1   1   1   0   1] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  A   2   0   2   2   0] [product  C   1   1   1   0   1] [product  B   1   0   1   1   0] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  C   1   1   1   0   1] [product  B   1   0   1   1   0] [product  A   2   0   2   2   0] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  A   2   0   2   2   0] [product  C   1   1   1   0   1] [product  B   1   0   1   1   0] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  A   2   0   2   2   0] [product  C   1   1   1   0   1] [product  B   1   0   1   1   0] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  B   1   0   1   1   0] [product  C   1   1   1   0   1] [product  A   2   0   2   2   0] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  A   2   0   2   2   0] [product  B   1   0   1   1   0] [product  C   1   1   1   0   1] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  B   1   0   1   1   0] [product  A   2   0   2   2   0] [product  C   1   1   1   0   1] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  C   1   1   1   0   1] [product  A   2   0   2   2   0] [product  B   1   0   1   1   0] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  C   1   1   1   0   1] [product  A   2   0   2   2   0] [product  B   1   0   1   1   0] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  C   1   1   1   0   1] [product  A   2   0   2   2   0] [product  B   1   0   1   1   0] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  B   1   0   1   1   0] [product  C   1   1   1   0   1] [product  A   2   0   2   2   0] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  A   2   0   2   2   0] [product  B   1   0   1   1   0] [product  C   1   1   1   0   1] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  A   2   0   2   2   0] [product  B   1   0   1   1   0] [product  C   1   1   1   0   1] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  B   1   0   1   1   0] [product  A   2   0   2   2   0] [product  C   1   1   1   0   1] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  B   1   0   1   1   0] [product  C   1   1   1   0   1] [product  A   2   0   2   2   0] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  C   1   1   1   0   1] [product  A   2   0   2   2   0] [product  B   1   0   1   1   0] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  B   1   0   1   1   0] [product  C   1   1   1   0   1] [product  A   2   0   2   2   0] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  B   1   0   1   1   0] [product  C   1   1   1   0   1] [product  A   2   0   2   2   0] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  C   1   1   1   0   1] [product  B   1   0   1   1   0] [product  A   2   0   2   2   0] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  A   2   0   2   2   0] [product  B   1   0   1   1   0] [product  C   1   1   1   0   1] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  B   1   0   1   1   0] [product  C   1   1   1   0   1] [product  A   2   0   2   2   0] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  A   2   0   2   2   0] [product  C   1   1   1   0   1] [product  B   1   0   1   1   0] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  C   1   1   1   0   1] [product  A   2   0   2   2   0] [product  B   1   0   1   1   0] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  A   2   0   2   2   0] [product  B   1   0   1   1   0] [product  C   1   1   1   0   1] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  A   2   0   2   2   0] [product  C   1   1   1   0   1] [product  B   1   0   1   1   0] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  B   1   0   1   1   0] [product  C   1   1   1   0   1] [product  A   2   0   2   2   0] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  B   1   0   1   1   0] [product  C   1   1   1   0   1] [product  A   2   0   2   2   0] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  A   2   0   2   2   0] [product  C   1   1   1   0   1] [product  B   1   0   1   1   0] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  C   1   1   1   0   1] [product  B   1   0   1   1   0] [product  A   2   0   2   2   0] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  A   2   0   2   2   0] [product  C   1   1   1   0   1] [product  B   1   0   1   1   0] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  C   1   1   1   0   1] [product  B   1   0   1   1   0] [product  A   2   0   2   2   0] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  C   1   1   1   0   1] [product  A   2   0   2   2   0] [product  B   1   0   1   1   0] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  A   2   0   2   2   0] [product  B   1   0   1   1   0] [product  C   1   1   1   0   1] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  C   1   1   1   0   1] [product  B   1   0   1   1   0] [product  A   2   0   2   2   0] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  A   2   0   2   2   0] [product  C   1   1   1   0   1] [product  B   1   0   1   1   0] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  C   1   1   1   0   1] [product  A   2   0   2   2   0] [product  B   1   0   1   1   0] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  C   1   1   1   0   1] [product  A   2   0   2   2   0] [product  B   1   0   1   1   0] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  B   1   0   1   1   0] [product  A   2   0   2   2   0] [product  C   1   1   1   0   1] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  B   1   0   1   1   0] [product  A   2   0   2   2   0] [product  C   1   1   1   0   1] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  C   1   1   1   0   1] [product  A   2   0   2   2   0] [product  B   1   0   1   1   0] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  B   1   0   1   1   0] [product  C   1   1   1   0   1] [product  A   2   0   2   2   0] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  B   1   0   1   1   0] [product  A   2   0   2   2   0] [product  C   1   1   1   0   1] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  C   1   1   1   0   1] [product  A   2   0   2   2   0] [product  B   1   0   1   1   0] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  B   1   0   1   1   0] [product  A   2   0   2   2   0] [product  C   1   1   1   0   1] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  C   1   1   1   0   1] [product  B   1   0   1   1   0] [product  A   2   0   2   2   0] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  A   2   0   2   2   0] [product  C   1   1   1   0   1] [product  B   1   0   1   1   0] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  C   1   1   1   0   1] [product  A   2   0   2   2   0] [product  B   1   0   1   1   0] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  A   2   0   2   2   0] [product  B   1   0   1   1   0] [product  C   1   1   1   0   1] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  B   1   0   1   1   0] [product  C   1   1   1   0   1] [product  A   2   0   2   2   0] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  A   2   0   2   2   0] [product  C   1   1   1   0   1] [product  B   1   0   1   1   0] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  B   1   0   1   1   0] [product  C   1   1   1   0   1] [product  A   2   0   2   2   0] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  A   2   0   2   2   0] [product  B   1   0   1   1   0] [product  C   1   1   1   0   1] [equation  Process1   1]]","[[[business open  1 ] [business closed  0 ] [business strategies  0 ] [business tactics  0 ]] [product  B   1   0   1   1   0] [product  C   1   1   1   0   1] [product  A   2   0   2   2   0] [equation  Process1   1]]"
"[min]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[max]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[mean]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[steps]","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50"

"[all run data]","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save","output-save"
